X,Y,CCN,REPORT_DAT,START_DATE,END_DATE,BLOCK,OFFENSE,METHOD,SHIFT,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,BID,XBLOCK,YBLOCK,LATITUDE,LONGITUDE,OBJECTID,OCTO_RECORD_ID
401338.170000002,135773.260000002,26025060,2026/02/25 14:28:37+00,2026/02/24 16:20:00+00,2026/02/24 16:40:00+00,1400 - 1499 BLOCK OF EAST CAPITOL STREET,THEFT F/AUTO,OTHERS,DAY,6,6A,1,108,Cluster 26,008002 1,008002,Precinct 86,,401338.17,135773.26,38.8898011368,-76.9845755234,923910252,
400790.840000004,136927.600000001,26025887,2026/02/27 02:11:18+00,2026/02/26 05:01:00+00,2026/02/26 06:00:00+00,1100 - 1199 BLOCK OF H STREET NE,THEFT F/AUTO,OTHERS,EVENING,6,6A,1,104,Cluster 25,008410 1,008410,Precinct 82,,400790.84,136927.6,38.9002005173,-76.9908830183,923910253,
391246.32,140509.73,26026663,2026/02/28 17:44:50+00,2026/02/28 15:38:00+00,2026/02/28 17:45:00+00,5000 - 5049 BLOCK OF LOWELL STREET NW,MOTOR VEHICLE THEFT,OTHERS,DAY,3,3D,2,205,Cluster 13,000904 1,000904,Precinct 8,,391246.32,140509.73,38.9324262829,-77.1009600248,923910254,
401560.340000004,137150.530000001,26027502,2026/03/02 14:10:25+00,2026/03/02 12:21:00+00,2026/03/02 13:16:00+00,900 - 999 BLOCK OF BLADENSBURG ROAD NE,THEFT/OTHER,OTHERS,DAY,5,5D,5,506,Cluster 23,008802 2,008802,Precinct 77,,401560.34,137150.53,38.902207721,-76.9820115427,923910255,
400040.210000001,129240.780000001,26027682,2026/03/02 21:51:15+00,2026/03/02 19:58:00+00,,400 - 599 BLOCK OF ATLANTIC STREET SE,ROBBERY,OTHERS,EVENING,8,8E,7,706,Cluster 39,009802 2,009802,Precinct 125,,400040.21,129240.78,38.8309548319,-76.9995368996,923910256,
402258.920000002,132857.68,26028692,2026/03/04 23:45:28+00,2026/03/04 16:30:00+00,,2300 - 2399 BLOCK OF MARION BARRY AVENUE SE,ASSAULT W/DANGEROUS WEAPON,KNIFE,EVENING,8,8A,6,607,Cluster 34,007605 3,007605,Precinct 112,,402258.92,132857.68,38.8635345572,-76.9739720394,923910257,
400790.840000004,136927.600000001,26042143,2026/04/01 01:13:29+00,2026/03/31 03:04:00+00,2026/03/31 03:14:00+00,1100 - 1199 BLOCK OF H STREET NE,THEFT F/AUTO,OTHERS,EVENING,6,6A,1,104,Cluster 25,008402 1,008402,Precinct 82,,400790.84,136927.6,38.9002005173,-76.9908830183,923910304,
404838.729999997,133646.43,26043366,2026/04/03 09:14:33+00,2026/04/03 01:00:00+00,2026/04/03 01:25:00+00,4038 - 4109 BLOCK OF ALABAMA AVENUE SE,THEFT/OTHER,OTHERS,MIDNIGHT,7,7B,6,605,Cluster 34,009902 1,009902,Precinct 110,,404838.73,133646.43,38.8706295295,-76.9442411414,923910305,
398186.450000003,137709.120000001,26043623,2026/04/03 18:43:43+00,2026/04/03 16:30:00+00,2026/04/03 16:39:00+00,600 - 699 BLOCK OF N STREET NW,THEFT F/AUTO,OTHERS,DAY,2,2G,3,308,Cluster 7,004802 2,004802,Precinct 18,,398186.45,137709.12,38.9072392096,-77.0209090762,923910306,
394785.219999999,145487.93,26044627,2026/04/05 12:16:28+00,2026/04/05 11:01:00+00,2026/04/05 11:59:00+00,6634 - 6699 BLOCK OF BARNABY STREET NW,MOTOR VEHICLE THEFT,OTHERS,DAY,4,3/4G,2,201,Cluster 10,001500 4,001500,Precinct 51,,394785.22,145487.93,38.9772993509,-77.0601822087,923910307,
399778.82,137532.050000001,26420126,2026/01/10 01:31:49+00,2026/01/08 23:30:00+00,2026/01/08 23:30:00+00,201 - 299 BLOCK OF M STREET NE,THEFT/OTHER,OTHERS,EVENING,6,6C,5,501,Cluster 25,010602 4,010602,Precinct 144,NOMA,399778.82,137532.05,38.9056459446,-77.0025500075,923910308,
397633.43,144615.420000002,26028963,2026/03/05 17:24:15+00,2026/03/05 15:55:00+00,2026/03/05 16:37:00+00,6500 - 6599 BLOCK OF GEORGIA AVENUE NW,THEFT/OTHER,OTHERS,DAY,4,4A,4,402,Cluster 17,001804 2,001804,Precinct 61,,397633.43,144615.42,38.9694518736,-77.027308864,923910645,
396307.07,137186.460000001,26029508,2026/03/06 18:31:39+00,2026/03/06 00:30:00+00,2026/03/07 01:00:00+00,1800 - 1899 BLOCK OF K STREET NW,THEFT/OTHER,OTHERS,DAY,2,2C,2,207,Cluster 6,010700 1,010700,Precinct 17,GOLDEN TRIANGLE,396307.07,137186.46,38.9025250187,-77.0425743177,923910646,
400256.780000001,140547.219999999,26029619,2026/03/06 22:08:42+00,2026/03/04 01:25:00+00,2026/03/04 01:30:00+00,600 - 699 BLOCK OF MICHIGAN AVENUE NE,ROBBERY,GUN,EVENING,5,5F,5,502,Cluster 20,009201 2,009201,Precinct 74,,400256.78,140547.22,38.9328075718,-76.9970384286,923910647,
397610.109999999,137008.120000001,26030423,2026/03/08 14:51:12+00,2026/03/08 14:24:00+00,2026/03/08 14:50:00+00,1100 - 1199 BLOCK OF NEW YORK AVENUE NW,THEFT/OTHER,OTHERS,DAY,2,2C,2,209,Cluster 8,010100 2,010100,Precinct 129,DOWNTOWN,397610.11,137008.12,38.9009229772,-77.0275514697,923910648,
395499.25,139592.960000001,26030829,2026/03/09 14:02:21+00,2026/03/09 13:27:00+00,2026/03/09 13:30:00+00,2600 - 2649 BLOCK OF CONNECTICUT AVENUE NW,THEFT/OTHER,OTHERS,DAY,3,3C,2,204,Cluster 15,000501 1,000501,Precinct 136,,395499.25,139592.96,38.9241998122,-77.0519031245,923910649,
396307.960000001,137321.649999999,26032564,2026/03/12 20:11:40+00,2026/03/12 17:53:00+00,2026/03/12 19:58:00+00,1800 - 1899 BLOCK OF L STREET NW,THEFT/OTHER,OTHERS,EVENING,2,2C,2,207,Cluster 6,010700 1,010700,Precinct 17,GOLDEN TRIANGLE,396307.96,137321.65,38.9037428616,-77.042564784,923910650,
